"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"Col3a1.15",1.10902123002154e-21,-4.42810404747765,0.238,0.885,2.26473225382698e-17,"Mac_4","Col3a1"
"Sinhcaf.1",1.17826689162601e-21,0.286738442912448,0.381,0.05,2.40613881938948e-17,"Mac_4","Sinhcaf"
"Lmnb2",1.23261134453835e-21,0.488584976506754,0.357,0.047,2.51711562668176e-17,"Mac_4","Lmnb2"
"Wfdc17.3",1.24627279290138e-21,0.776573496371202,0.286,0.03,2.54501367038391e-17,"Mac_4","Wfdc17"
"Rgs10.7",1.28353902148231e-21,1.46161072859614,0.81,0.27,2.62111503576903e-17,"Mac_4","Rgs10"
"Suz12",2.49772449767815e-21,1.07280815086689,0.881,0.332,5.10060319670855e-17,"Mac_4","Suz12"
"Fxyd1.12",2.65914869775042e-21,-2.3462041125218,0.024,0.851,5.43024755567612e-17,"Mac_4","Fxyd1"
"Nup62",2.67258614896674e-21,0.641555072056916,0.69,0.155,5.45768817480497e-17,"Mac_4","Nup62"
"Plac9a.16",2.90382897414402e-21,-2.93726770336352,0.071,0.856,5.9299091480995e-17,"Mac_4","Plac9a"
"Fuca2.3",3.20270893394964e-21,0.405394432258884,0.405,0.059,6.54025191401856e-17,"Mac_4","Fuca2"
"Nfia.12",3.24157069730864e-21,-2.29984589955611,0.214,0.873,6.61961152097397e-17,"Mac_4","Nfia"
"Cavin3.12",3.67429324531923e-21,-2.14529033959476,0.024,0.848,7.50327423626639e-17,"Mac_4","Cavin3"
"Dynlt1f.1",3.99661319061861e-21,0.56482735314533,0.667,0.148,8.16148379656226e-17,"Mac_4","Dynlt1f"
"Lsm2",4.28223461266862e-21,1.16776524587229,0.881,0.316,8.74475130253059e-17,"Mac_4","Lsm2"
"Tuba1b.6",4.59136356503611e-21,2.16110360349263,0.952,0.88,9.37602353616024e-17,"Mac_4","Tuba1b"
"Snrnp25",4.85512240291628e-21,0.570043397467977,0.619,0.13,9.91464545899533e-17,"Mac_4","Snrnp25"
"Rarres2.12",5.69560054883794e-21,-2.72097445195557,0.143,0.859,1.1630985880782e-16,"Mac_4","Rarres2"
"Satb1.2",5.70535294682626e-21,2.332320717124,0.405,0.066,1.16509012527139e-16,"Mac_4","Satb1"
"Plpp3.16",5.71264639434448e-21,-2.96789530532671,0.048,0.849,1.16657952018909e-16,"Mac_4","Plpp3"
"Pole2.1",6.80130763422647e-21,0.253967458183648,0.31,0.036,1.38889503198539e-16,"Mac_4","Pole2"
"Col1a1.15",7.00732206967893e-21,-4.09951395621748,0.19,0.864,1.43096523984914e-16,"Mac_4","Col1a1"
"Smagp.5",7.33926704258001e-21,0.397853390542727,0.333,0.04,1.49875172276526e-16,"Mac_4","Smagp"
"Gapdh.9",8.23198025576066e-21,1.35004097156016,1,0.945,1.68105268802889e-16,"Mac_4","Gapdh"
"Nfix.16",8.29466127266698e-21,-2.43190913416644,0.31,0.877,1.69385277849132e-16,"Mac_4","Nfix"
"H3f3a.10",8.39035597190386e-21,1.25142052652714,1,0.972,1.71339459302249e-16,"Mac_4","H3f3a"
"Hspa14",8.68657625305878e-21,1.00396413811752,0.881,0.308,1.77388573663713e-16,"Mac_4","Hspa14"
"Tnfrsf1b.5",9.10725282448418e-21,0.300084561188376,0.429,0.064,1.85979209928792e-16,"Mac_4","Tnfrsf1b"
"Cald1.17",1.04841360398217e-20,-3.36431407357614,0.19,0.863,2.14096542069198e-16,"Mac_4","Cald1"
"Cstf2.2",1.20088946379673e-20,0.521819550207318,0.5,0.088,2.4523363740193e-16,"Mac_4","Cstf2"
